So generally what I do with this data is look at the arc voltage within a certain range on both the X and Y axes. So like at first it would show me everything, but it would be nice to then select a range for Y (like from -140v to -100v) and a range for X (from time = 1sec to time = 100sec) and have it "zoom" in on that data
and then it would also be nice to be able to cycle through the different columns to show the data. I might want to just isolate the voltage, the Y value, the z value, etc. I also might want to show all three corrected data points on one chart (Corrected Z, Corrected Y, and Corrected X)Also - the Time column will be the X axis. I didn't say that, but technically that's the case. I'm ok if it was just a scatter plot though and we just treated each sample as 1,2,3,4 in X. That way we could also plot the time to make sure we don't have anomalies in the sampling rate
 
In that last case, I think we are storing the total accumulated time. It would be cool to show it as-is which would be a ramp, but it would also be nice to get the delta/difference between points
 
BeginHeader
TrackingEnabled,False
TargetVoltage,-120.0
GainZ,0.020
GainY,0.100
EndHeader

Time,Voltage,Current X,Current Y,Current Z,Corrected X,Corrected Y,Corrected Z
0.007,-120.0,-0.01,6408.09,-0.04,0.00,0.00,0.00
0.012,-120.0,-0.01,6408.22,-0.04,0.00,0.00,0.00
0.015,-120.0,-0.01,6408.22,-0.04,0.00,0.00,0.00
0.020,-120.0,-0.01,6408.32,-0.03,0.00,0.00,0.00
0.025,-120.0,-0.01,6408.37,-0.03,0.00,0.00,0.00
0.030,-120.0,-0.01,6408.41,-0.03,0.00,0.00,0.00
0.035,-120.0,-0.00,6408.44,-0.02,0.00,0.00,0.00
0.040,-120.0,-0.00,6408.50,-0.02,0.00,0.00,0.00
0.045,-120.0,-0.00,6408.52,-0.02,0.00,0.00,0.00
0.050,-120.0,-0.00,6408.54,-0.01,0.00,0.00,0.00
0.055,-120.0,-0.00,6408.56,-0.01,0.00,0.00,0.00
0.060,-120.0,-0.00,6408.58,-0.01,0.00,0.00,0.00
0.065,-120.0,-0.00,6408.59,-0.01,0.00,0.00,0.00
0.070,-120.0,-0.00,6408.60,-0.01,0.00,0.00,0.00
0.075,-120.0,-0.00,6408.60,-0.01,0.00,0.00,0.00
0.080,-120.0,-0.00,6408.60,-0.01,0.00,0.00,0.00
0.085,-120.0,-0.00,6408.60,-0.01,0.00,0.00,0.00
0.090,-120.0,-0.00,6408.60,-0.01,0.00,0.00,0.00
0.095,-120.0,-0.00,6408.59,-0.01,0.00,0.00,0.00
0.100,-120.0,-0.00,6408.57,-0.01,0.00,0.00,0.00
0.105,-120.0,-0.00,6408.56,-0.01,0.00,0.00,0.00
0.110,-120.0,-0.00,6408.55,-0.01,0.00,0.00,0.00
0.115,-120.0,-0.00,6408.54,-0.01,0.00,0.00,0.00
0.120,-120.0,-0.00,6408.50,-0.01,0.00,0.00,0.00
0.125,-120.0,-0.00,6408.48,-0.01,0.00,0.00,0.00
0.130,-120.0,-0.00,6408.45,-0.01,0.00,0.00,0.00
0.135,-120.0,-0.00,6408.42,-0.02,0.00,0.00,0.00
0.140,-120.0,-0.00,6408.36,-0.02,0.00,0.00,0.00
0.145,-120.0,-0.00,6408.32,-0.02,0.00,0.00,0.00
